id,name,note,nbr_avis,type,quartier,prix
35,LE LOUIS VINS,"4,5/5",2,Bistrot – Brasserie,75005,€€
36,SU MISURA,"4,5/5",2,Restaurant italien et pizzeria,75007,€€
37,LA FACTORIE SAINT-AMOUR,"4,5/5",2,Bistrot – Brasserie,75020,€
38,LE CAROUBIER,"4,5/5",2,Restaurant marocain,75015,€€
39,LA ROBE DE LA GIRAFE,"4,5/5",2,Cuisine française,75011,€
40,LES ÉDITEURS,"4,5/5",2,Bistrot – Brasserie,75006,€€
41,LE GRANITE,"4,5/5",2,Cuisine française,75015,€€
42,LE ROYAL,"4,5/5",2,Bistrot – Brasserie,75009,€€
43,LA CANTINE DE QUENTIN,"4,5/5",2,Bistrot – Brasserie,75010,€€
44,LA RAVIGOTE,"4,5/5",2,Cuisine française,75011,€€
45,RESTAURANT VILLA PUNJAB,"4,2/5",5,Restaurant indien,75017,€€
46,GUSTO ITALIA,"4,5/5",2,Restaurant italien et pizzeria,75007,€€
47,CHEZ HANAFOUSA,"4,5/5",2,Restaurant japonais,75006,€€
48,LE BAR À BURGER,"4,3/5",4,Restaurant américain,75010,€€
49,LE PERCOLATEUR,"4,5/5",2,Bistrot – Brasserie,75008,€€
0,LES VENDANGES,"4,5/5",2,Cuisine française,75014,€€
1,LA BARAKA,"4,5/5",2,Restaurant algérien,75014,€€
2,IL PARADISO,"4,5/5",2,Restaurant italien et pizzeria,75017,€€
3,COMPTOIR DE LA GASTRONOMIE,"4,5/5",2,Cuisine française,75001,€€
4,YOOM,"4,3/5",4,Restaurant chinois,75009,€
5,MORI VENICE BAR,"4,5/5",2,Restaurant italien et pizzeria,75002,€€€
6,RESTAURANT TIPAZA,"4,2/5",5,Restaurant marocain,75015,€€
7,PHO 14,"3,7/5",10,Restaurant vietnamien,75013,€
8,VILLA DONDELLI,"4,5/5",2,Restaurant italien et pizzeria,75002,€€
9,À LA CHÂTAIGNE,"4,5/5",2,Restaurant corse,75008,€€
10,LE BOUDOIR,"4,5/5",2,Bistronomie,75008,€€
11,CHEZ JAAFAR,"4,5/5",2,Restaurant tunisien,75005,€€
12,LA FERMETTE MARBEUF,"4,3/5",4,Cuisine française,75008,€€
13,HÉBÉ,"4,5/5",2,Cuisine française,75005,€€€
14,LES VIGNES DU LIBAN,"4,5/5",2,Restaurant libanais,75015,€€
15,POTTOKA,"4,3/5",4,Bistronomie,75007,€€
16,IL GALLO NERO,"4,5/5",2,Restaurant italien et pizzeria,75014,€€
17,LA MASCOTTE,"4,2/5",5,Bistrot – Brasserie,75018,€€
